Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Social drinker,Social smoker,Pet,Body mass index,Absenteeism time in hours
6.0,9.0,2.0,2.0,288.0,32.0,8.0,41.0,310.6792137836274,81.0,0.0,1.0,0.0,0.0,0.0,27.0,10.0
9.0,9.0,2.0,1.0,212.0,6.0,16.0,29.0,286.4936033169478,88.0,0.0,1.0,1.0,1.0,1.0,31.0,3.0
25.0,12.0,6.0,1.0,201.0,31.0,10.0,25.0,277.5744941481751,92.0,0.0,4.0,1.0,0.0,0.0,28.0,25.0
24.0,2.0,3.0,3.0,259.0,49.0,17.0,31.0,297.3280979781387,80.0,0.0,0.0,1.0,1.0,0.0,29.0,2.0
23.0,12.0,3.0,3.0,140.0,17.0,17.0,23.0,274.6057792169965,87.0,0.0,4.0,1.0,0.0,0.0,24.0,22.0
27.0,1.0,3.0,1.0,245.0,16.0,14.0,33.0,249.7734828231256,95.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0
27.0,10.0,5.0,2.0,193.0,44.0,11.0,38.0,238.7394789617597,82.0,0.0,0.0,1.0,0.0,0.0,28.0,5.0
27.0,4.0,3.0,3.0,219.0,42.0,15.0,31.0,210.31622173413405,84.0,0.0,3.0,1.0,0.0,0.0,29.0,1.0
5.0,3.0,6.0,1.0,259.0,25.0,9.0,32.0,281.44605434512056,93.0,0.0,3.0,0.0,0.0,0.0,25.0,0.0
19.0,1.0,2.0,4.0,191.0,37.0,6.0,47.0,307.7677551351265,83.0,0.0,0.0,1.0,1.0,0.0,29.0,2.0
11.0,10.0,3.0,4.0,217.0,28.0,13.0,28.0,321.4088429703744,83.0,0.0,0.0,1.0,0.0,0.0,25.0,5.0
10.0,6.0,2.0,2.0,155.0,7.0,6.0,39.0,269.15879280748857,80.0,0.0,1.0,0.0,0.0,0.0,26.0,2.0
0.0,7.0,3.0,3.0,191.0,22.0,13.0,39.0,294.1106120831296,84.0,0.0,1.0,1.0,0.0,0.0,28.0,6.0
1.0,1.0,3.0,1.0,161.0,14.0,15.0,27.0,269.92526957101063,100.0,0.0,4.0,0.0,0.0,2.0,25.0,7.0
22.0,4.0,6.0,3.0,230.0,36.0,8.0,33.0,300.96013079492667,89.0,0.0,1.0,0.0,0.0,0.0,26.0,7.0
14.0,2.0,3.0,4.0,308.0,48.0,11.0,27.0,304.71615947580506,80.0,0.0,2.0,0.0,0.0,0.0,25.0,26.0
3.0,9.0,6.0,2.0,215.0,17.0,12.0,44.0,297.8028283890979,97.0,0.0,4.0,1.0,0.0,0.0,19.0,1.0
4.0,8.0,3.0,4.0,210.0,23.0,10.0,30.0,200.93500585964875,89.0,0.0,1.0,0.0,0.0,0.0,27.0,15.0
14.0,8.0,2.0,2.0,219.0,36.0,2.0,34.0,301.075752040294,89.0,0.0,3.0,1.0,0.0,8.0,23.0,6.0
10.0,5.0,6.0,1.0,205.0,43.0,10.0,39.0,270.482934812566,93.0,0.0,2.0,1.0,0.0,1.0,22.0,7.0
9.0,12.0,2.0,1.0,166.0,17.0,12.0,40.0,231.0208762010712,90.0,0.0,4.0,1.0,0.0,2.0,28.0,9.0
16.0,3.0,2.0,2.0,229.0,51.0,15.0,27.0,281.1853441557254,98.0,0.0,1.0,1.0,0.0,1.0,33.0,4.0
1.0,7.0,3.0,1.0,204.0,13.0,12.0,46.0,273.37048433398866,97.0,0.0,2.0,0.0,0.0,1.0,28.0,2.0
19.0,4.0,6.0,4.0,129.0,16.0,10.0,35.0,238.7280768650715,92.0,0.0,1.0,1.0,0.0,0.0,28.0,7.0
23.0,2.0,4.0,1.0,205.0,10.0,9.0,38.0,266.3037439704042,99.0,0.0,0.0,1.0,0.0,5.0,33.0,4.0
19.0,10.0,2.0,3.0,219.0,46.0,17.0,38.0,309.528528745499,87.0,0.0,0.0,1.0,0.0,0.0,27.0,15.0
2.0,7.0,2.0,1.0,141.0,24.0,6.0,33.0,274.9827614723283,81.0,0.0,2.0,1.0,0.0,1.0,28.0,0.0
18.0,11.0,3.0,1.0,261.0,48.0,14.0,37.0,281.7633196031801,90.0,1.0,3.0,1.0,0.0,0.0,21.0,3.0
4.0,4.0,2.0,2.0,216.0,13.0,16.0,26.0,204.01468056670572,80.0,0.0,4.0,0.0,0.0,0.0,26.0,2.0
7.0,2.0,3.0,3.0,238.0,25.0,17.0,39.0,356.3024227510024,96.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0
4.0,6.0,3.0,3.0,238.0,12.0,14.0,38.0,286.4153715196089,97.0,1.0,4.0,1.0,0.0,0.0,31.0,6.0
27.0,2.0,5.0,1.0,178.0,39.0,5.0,48.0,317.6625015633989,91.0,0.0,2.0,0.0,0.0,2.0,34.0,4.0
13.0,7.0,3.0,3.0,177.0,46.0,17.0,31.0,254.79152039553492,91.0,0.0,0.0,1.0,0.0,0.0,26.0,6.0
6.0,6.0,5.0,1.0,144.0,29.0,18.0,41.0,285.38111510074685,92.0,0.0,0.0,1.0,0.0,4.0,32.0,4.0
10.0,4.0,5.0,3.0,206.0,54.0,6.0,37.0,233.48626369101936,100.0,1.0,3.0,1.0,0.0,0.0,27.0,7.0
7.0,11.0,3.0,4.0,233.0,10.0,9.0,23.0,286.5883943557966,98.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0
4.0,9.0,5.0,4.0,205.0,9.0,17.0,37.0,244.48909132003723,92.0,0.0,4.0,1.0,0.0,0.0,25.0,1.0
7.0,4.0,4.0,4.0,267.0,30.0,12.0,36.0,246.52333587784335,82.0,0.0,4.0,1.0,1.0,0.0,28.0,0.0
15.0,2.0,3.0,2.0,116.0,25.0,14.0,30.0,260.2972620465068,95.0,0.0,2.0,0.0,1.0,4.0,27.0,19.0
13.0,10.0,2.0,3.0,190.0,20.0,18.0,42.0,302.99716101352743,86.0,0.0,1.0,0.0,0.0,0.0,31.0,12.0
7.0,3.0,4.0,2.0,268.0,6.0,3.0,41.0,266.50651810768767,87.0,0.0,2.0,0.0,0.0,1.0,31.0,13.0
17.0,6.0,5.0,3.0,131.0,50.0,12.0,37.0,187.389150718585,93.0,1.0,0.0,0.0,0.0,8.0,24.0,2.0
23.0,9.0,5.0,4.0,203.0,8.0,11.0,29.0,260.6084349007639,100.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0
5.0,1.0,4.0,1.0,286.0,54.0,10.0,36.0,353.68266241734807,93.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0
25.0,6.0,5.0,1.0,245.0,47.0,7.0,40.0,260.5324592928872,87.0,0.0,2.0,1.0,0.0,2.0,27.0,35.0
3.0,3.0,2.0,4.0,342.0,26.0,21.0,32.0,195.8471147298959,90.0,0.0,1.0,1.0,0.0,1.0,35.0,4.0
22.0,10.0,4.0,3.0,223.0,23.0,16.0,36.0,247.49822625117383,87.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0
16.0,6.0,3.0,1.0,221.0,51.0,10.0,40.0,295.7914588588506,84.0,0.0,3.0,1.0,1.0,0.0,23.0,1.0
21.0,6.0,6.0,1.0,185.0,39.0,9.0,33.0,280.3696996847689,94.0,0.0,0.0,1.0,0.0,0.0,31.0,6.0
18.0,4.0,2.0,4.0,103.0,49.0,12.0,39.0,258.4140107363921,96.0,0.0,1.0,1.0,0.0,0.0,19.0,13.0
26.0,8.0,4.0,2.0,190.0,9.0,6.0,32.0,278.844542575223,93.0,0.0,0.0,1.0,0.0,4.0,22.0,5.0
14.0,2.0,4.0,4.0,252.0,8.0,13.0,35.0,215.70577336460943,94.0,0.0,4.0,1.0,1.0,1.0,26.0,6.0
25.0,8.0,2.0,4.0,207.0,19.0,12.0,33.0,299.54594794862203,88.0,0.0,1.0,1.0,0.0,0.0,21.0,4.0
5.0,4.0,2.0,3.0,245.0,28.0,15.0,34.0,268.8580068386456,93.0,0.0,2.0,1.0,0.0,0.0,22.0,10.0
25.0,1.0,6.0,3.0,186.0,37.0,5.0,37.0,287.4619861698941,89.0,0.0,4.0,1.0,0.0,1.0,21.0,8.0
10.0,12.0,4.0,3.0,193.0,36.0,9.0,32.0,249.5970756553447,88.0,0.0,4.0,1.0,0.0,0.0,23.0,1.0
19.0,6.0,3.0,2.0,260.0,20.0,8.0,31.0,218.39824769904783,95.0,0.0,2.0,1.0,0.0,2.0,29.0,8.0
28.0,2.0,4.0,2.0,219.0,17.0,6.0,25.0,303.5892126873533,85.0,0.0,2.0,1.0,0.0,1.0,24.0,23.0
9.0,6.0,2.0,4.0,211.0,9.0,18.0,39.0,286.38068964278875,87.0,0.0,3.0,1.0,0.0,0.0,26.0,30.0
25.0,10.0,2.0,4.0,194.0,53.0,21.0,29.0,265.0218855920608,94.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0
15.0,12.0,2.0,4.0,157.0,49.0,13.0,31.0,266.6150413541928,94.0,0.0,3.0,1.0,0.0,2.0,29.0,0.0
26.0,1.0,6.0,2.0,300.0,42.0,10.0,31.0,270.81537238554773,94.0,0.0,2.0,0.0,0.0,0.0,31.0,22.0
11.0,1.0,4.0,3.0,305.0,43.0,15.0,38.0,331.5825415610721,80.0,0.0,2.0,0.0,0.0,1.0,34.0,6.0
19.0,10.0,4.0,4.0,253.0,29.0,12.0,36.0,360.4057757597684,91.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0
22.0,8.0,4.0,2.0,113.0,53.0,19.0,39.0,256.4770251203122,85.0,0.0,0.0,0.0,0.0,2.0,27.0,4.0
7.0,1.0,2.0,2.0,266.0,54.0,7.0,24.0,239.54817374467908,88.0,0.0,1.0,0.0,0.0,0.0,30.0,5.0
6.0,4.0,5.0,2.0,176.0,39.0,11.0,35.0,291.0899384523734,93.0,0.0,4.0,1.0,0.0,2.0,26.0,2.0
25.0,4.0,4.0,2.0,181.0,9.0,12.0,45.0,238.99660582892596,94.0,0.0,2.0,1.0,0.0,8.0,27.0,5.0
8.0,7.0,5.0,2.0,210.0,17.0,17.0,30.0,291.5981718689601,96.0,0.0,2.0,1.0,0.0,0.0,21.0,7.0
23.0,8.0,3.0,1.0,219.0,49.0,13.0,44.0,246.83200993030573,93.0,0.0,1.0,1.0,0.0,1.0,23.0,2.0
24.0,7.0,3.0,2.0,202.0,42.0,8.0,46.0,278.2732742074848,80.0,0.0,3.0,1.0,0.0,0.0,22.0,7.0
16.0,12.0,4.0,2.0,174.0,34.0,4.0,37.0,306.50961336657184,81.0,0.0,2.0,1.0,0.0,0.0,32.0,6.0
9.0,1.0,2.0,1.0,174.0,17.0,11.0,45.0,278.631566481776,86.0,0.0,2.0,1.0,0.0,5.0,28.0,8.0
28.0,3.0,6.0,1.0,94.0,19.0,15.0,41.0,303.2791769533656,96.0,0.0,3.0,1.0,0.0,2.0,27.0,1.0
27.0,1.0,4.0,2.0,269.0,23.0,8.0,25.0,288.1658821120989,86.0,0.0,3.0,1.0,0.0,1.0,26.0,3.0
20.0,3.0,3.0,4.0,50.0,42.0,17.0,38.0,215.46092650943137,83.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0
24.0,6.0,5.0,1.0,318.0,29.0,4.0,22.0,270.81537238554773,89.0,0.0,3.0,1.0,0.0,0.0,24.0,8.0
7.0,12.0,6.0,4.0,208.0,36.0,18.0,35.0,298.9073601182316,88.0,0.0,2.0,1.0,0.0,0.0,24.0,7.0
13.0,1.0,4.0,1.0,179.0,39.0,19.0,34.0,229.2039464596319,100.0,0.0,1.0,1.0,0.0,1.0,27.0,12.0
25.0,8.0,2.0,1.0,116.0,24.0,6.0,43.0,354.81602086015886,90.0,0.0,2.0,1.0,0.0,0.0,25.0,1.0
6.0,4.0,5.0,2.0,135.0,24.0,18.0,35.0,298.59227656959405,86.0,0.0,1.0,0.0,1.0,0.0,29.0,14.0
17.0,11.0,5.0,3.0,281.0,17.0,14.0,28.0,208.41213484564597,96.0,0.0,4.0,1.0,0.0,0.0,24.0,1.0
5.0,2.0,3.0,3.0,97.0,52.0,10.0,38.0,225.4728993689268,87.0,0.0,4.0,0.0,0.0,0.0,28.0,3.0
13.0,5.0,2.0,1.0,226.0,8.0,10.0,35.0,329.2165975066434,83.0,1.0,0.0,0.0,0.0,0.0,30.0,4.0
20.0,12.0,4.0,3.0,282.0,12.0,9.0,43.0,328.4316172389957,96.0,0.0,3.0,0.0,0.0,1.0,25.0,4.0
12.0,12.0,4.0,2.0,153.0,13.0,7.0,30.0,247.6930211185356,95.0,0.0,2.0,1.0,0.0,0.0,30.0,6.0
3.0,5.0,5.0,4.0,249.0,26.0,12.0,33.0,243.2802364196765,95.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0
19.0,12.0,5.0,2.0,231.0,16.0,15.0,34.0,269.7491789129804,90.0,0.0,2.0,0.0,0.0,4.0,32.0,5.0
10.0,10.0,4.0,3.0,252.0,23.0,8.0,35.0,258.65410375838644,87.0,0.0,2.0,0.0,0.0,0.0,35.0,4.0
0.0,8.0,6.0,1.0,306.0,8.0,18.0,43.0,318.1492354907237,89.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0
11.0,9.0,5.0,1.0,252.0,6.0,16.0,40.0,231.5048759723429,93.0,0.0,4.0,0.0,0.0,0.0,18.0,5.0
17.0,8.0,3.0,4.0,154.0,11.0,16.0,50.0,302.412925433078,94.0,0.0,1.0,1.0,1.0,0.0,28.0,0.0
6.0,6.0,3.0,3.0,338.0,7.0,4.0,34.0,137.08487830089803,83.0,0.0,3.0,1.0,0.0,0.0,18.0,9.0
11.0,10.0,2.0,4.0,72.0,12.0,8.0,40.0,277.60190374224936,88.0,0.0,0.0,1.0,0.0,1.0,22.0,4.0
21.0,2.0,6.0,3.0,141.0,25.0,12.0,43.0,320.3872802400085,97.0,0.0,2.0,1.0,0.0,0.0,20.0,2.0
3.0,4.0,5.0,3.0,224.0,25.0,9.0,26.0,217.3246640928181,90.0,0.0,2.0,0.0,0.0,0.0,27.0,2.0
17.0,9.0,4.0,1.0,300.0,36.0,15.0,28.0,259.50054786506706,98.0,1.0,1.0,1.0,0.0,0.0,23.0,4.0
14.0,11.0,2.0,3.0,219.0,5.0,12.0,25.0,300.9557657734767,95.0,0.0,2.0,1.0,0.0,1.0,31.0,0.0
2.0,10.0,5.0,4.0,245.0,26.0,14.0,38.0,318.6033913710344,95.0,0.0,2.0,1.0,0.0,0.0,30.0,1.0
14.0,4.0,2.0,2.0,315.0,13.0,15.0,37.0,302.2507449570767,90.0,1.0,3.0,0.0,0.0,0.0,26.0,2.0
14.0,5.0,4.0,1.0,207.0,43.0,14.0,38.0,270.81537238554773,91.0,0.0,2.0,1.0,0.0,0.0,29.0,4.0
5.0,8.0,3.0,3.0,282.0,19.0,7.0,38.0,255.7849254249628,83.0,0.0,1.0,0.0,0.0,0.0,32.0,3.0
0.0,8.0,5.0,2.0,263.0,13.0,12.0,35.0,256.5562022852855,86.0,0.0,1.0,0.0,0.0,0.0,27.0,16.0
25.0,7.0,6.0,2.0,248.0,20.0,10.0,38.0,292.03445537155113,82.0,0.0,4.0,1.0,0.0,0.0,26.0,0.0
22.0,6.0,2.0,4.0,199.0,46.0,18.0,31.0,243.8328827946064,99.0,0.0,3.0,1.0,0.0,4.0,24.0,0.0
23.0,9.0,3.0,2.0,235.0,25.0,14.0,33.0,161.67421093762275,90.0,0.0,0.0,1.0,0.0,0.0,29.0,7.0
20.0,5.0,4.0,4.0,176.0,34.0,16.0,32.0,263.1281007495535,84.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0
12.0,8.0,3.0,1.0,282.0,49.0,10.0,38.0,320.7096833533417,80.0,0.0,2.0,0.0,0.0,0.0,17.0,10.0
6.0,1.0,6.0,4.0,194.0,32.0,3.0,32.0,419.5762763069217,94.0,0.0,1.0,1.0,0.0,0.0,25.0,12.0
27.0,5.0,2.0,1.0,252.0,49.0,8.0,27.0,241.54173758209188,80.0,0.0,2.0,1.0,0.0,0.0,29.0,4.0
26.0,6.0,5.0,3.0,96.0,31.0,13.0,32.0,204.4151215524772,97.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0
12.0,6.0,5.0,4.0,340.0,26.0,10.0,39.0,273.5695144831999,81.0,0.0,4.0,1.0,0.0,0.0,29.0,9.0
21.0,6.0,3.0,2.0,76.0,54.0,13.0,33.0,222.57591475272108,96.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0
15.0,7.0,4.0,1.0,163.0,45.0,17.0,36.0,232.0380062521409,86.0,0.0,1.0,1.0,0.0,1.0,31.0,6.0
18.0,4.0,2.0,1.0,63.0,21.0,7.0,50.0,279.3382333438901,93.0,0.0,3.0,0.0,0.0,1.0,26.0,12.0
15.0,11.0,4.0,1.0,213.0,46.0,20.0,36.0,301.7044694607506,98.0,0.0,4.0,0.0,0.0,2.0,27.0,2.0
3.0,9.0,2.0,1.0,244.0,54.0,9.0,40.0,218.95723163114656,84.0,0.0,0.0,1.0,1.0,0.0,26.0,7.0
8.0,10.0,2.0,2.0,212.0,20.0,11.0,36.0,263.98786090581586,81.0,1.0,2.0,1.0,0.0,1.0,23.0,10.0
2.0,9.0,4.0,3.0,218.0,53.0,13.0,25.0,232.04656816521387,99.0,0.0,1.0,1.0,0.0,0.0,20.0,11.0
9.0,12.0,2.0,2.0,251.0,39.0,9.0,30.0,396.6823574639284,98.0,0.0,1.0,1.0,0.0,0.0,29.0,1.0
16.0,4.0,2.0,4.0,296.0,27.0,9.0,42.0,250.46428956960588,92.0,0.0,0.0,1.0,0.0,0.0,25.0,22.0
18.0,11.0,4.0,1.0,172.0,14.0,12.0,35.0,270.9885785103469,90.0,1.0,4.0,0.0,0.0,0.0,23.0,15.0
9.0,8.0,5.0,1.0,203.0,5.0,14.0,45.0,308.41449164406123,90.0,0.0,0.0,0.0,0.0,1.0,26.0,10.0
22.0,12.0,6.0,3.0,195.0,45.0,6.0,27.0,246.81265954259985,81.0,0.0,1.0,1.0,1.0,2.0,25.0,3.0
6.0,7.0,3.0,4.0,185.0,8.0,13.0,26.0,296.5699428030847,93.0,0.0,4.0,0.0,0.0,0.0,29.0,11.0
17.0,11.0,4.0,3.0,237.0,41.0,10.0,28.0,319.54934500271395,95.0,0.0,2.0,0.0,0.0,2.0,22.0,17.0
14.0,8.0,4.0,2.0,207.0,47.0,11.0,41.0,317.5464808151588,100.0,1.0,3.0,1.0,0.0,0.0,25.0,4.0
11.0,2.0,6.0,4.0,251.0,27.0,10.0,41.0,260.9265543694283,90.0,0.0,1.0,1.0,0.0,0.0,23.0,5.0
28.0,7.0,2.0,1.0,267.0,48.0,7.0,38.0,359.7023033600948,99.0,0.0,1.0,0.0,0.0,0.0,27.0,3.0
6.0,7.0,4.0,1.0,270.0,17.0,8.0,23.0,306.65549744234045,81.0,0.0,1.0,1.0,0.0,0.0,25.0,12.0
9.0,11.0,4.0,3.0,219.0,53.0,11.0,40.0,249.66598528616936,95.0,0.0,0.0,1.0,0.0,0.0,36.0,3.0
24.0,8.0,2.0,1.0,169.0,36.0,15.0,33.0,270.81537238554773,94.0,0.0,0.0,1.0,0.0,0.0,25.0,27.0
19.0,9.0,2.0,1.0,219.0,53.0,8.0,31.0,286.6733224743162,97.0,0.0,3.0,0.0,0.0,0.0,29.0,0.0
24.0,12.0,2.0,2.0,97.0,43.0,18.0,37.0,184.24877492800147,97.0,1.0,4.0,1.0,0.0,4.0,23.0,4.0
